"Wijken en buurten","Gemeentenaam","Soort regio","Codering","Indelingswijziging wijken en buurten","Aantal inwoners","Mannen","Vrouwen","0 tot 15 jaar","15 tot 25 jaar","25 tot 45 jaar","45 tot 65 jaar","65 jaar of ouder","Ongehuwd","Gehuwd","Gescheiden","Verweduwd","Westers totaal","Niet-westers totaal","Marokko","Nederlandse Antillen en Aruba","Suriname","Turkije","Overig niet-westers","Geboorte totaal","Geboorte relatief","Sterfte totaal","Sterfte relatief","Huishoudens totaal","Eenpersoonshuishoudens","Huishoudens zonder kinderen","Huishoudens met kinderen","Gemiddelde huishoudensgrootte","Bevolkingsdichtheid","Woningvoorraad","Gemiddelde woningwaarde","Percentage eengezinswoning","Percentage meergezinswoning","Percentage bewoond","Percentage onbewoond","Koopwoningen","Huurwoningen totaal","In bezit woningcorporatie","In bezit overige verhuurders","Eigendom onbekend","Bouwjaar voor 2000","Bouwjaar vanaf 2000","Gemiddeld elektriciteitsverbruik totaal","Appartement","Tussenwoning","Hoekwoning","Twee-onder-��n-kap-woning","Vrijstaande woning","Huurwoning","Koopwoning","Gemiddeld aardgasverbruik totaal","Appartement1","Tussenwoning1","Hoekwoning1","Twee-onder-��n-kap-woning1","Vrijstaande woning1","Huurwoning1","Koopwoning1","Percentage woningen met stadsverwarming","Aantal inkomensontvangers��","Gemiddeld inkomen per inkomensontvanger�","Gemiddeld inkomen per inwoner�","40% personen met laagste inkomen","20% personen met hoogste inkomen","Actieven 15-75 jaar","40% huishoudens met laagste inkomen","20% huishoudens met hoogste inkomen","Huishoudens met een laag inkomen","Huish. onder of rond sociaal minimum","Personen per soort uitkering, Bijstand","Personen per soort uitkering, AO","Personen per soort uitkering, WW","Personen per soort uitkering, AOW","Bedrijfsvestigingen totaal","A Landbouw, bosbouw en visserij","B-F Nijverheid en energie","G+I Handel en horeca","H+J Vervoer, informatie en communicatie","K-L Financi�le diensten, onroerend goed","M-N Zakelijke dienstverlening","R-U Cultuur, recreatie, overige diensten","Personenauto's totaal","Personenauto's, jonger dan 6 jaar","Personenauto's, 6 jaar en ouder","Personenauto's, brandstof benzine","Personenauto's, overige brandstof","Personenauto's per huishouden","Personenauto's naar oppervlakte","Bedrijfsmotorvoertuigen","Motortweewielers","Afstand tot huisartsenpraktijk","Afstand tot grote supermarkt","Afstand tot kinderdagverblijf","Afstand tot school","Scholen binnen 3 km","Oppervlakte totaal","Oppervlakte land","Oppervlakte water","Meest voorkomende postcode","Dekkingspercentage","Mate van stedelijkheid","Omgevingsadressendichtheid"
"Amsterdam","Amsterdam","Gemeente","GM0363",".","821752","404881","416871","127467","106422","288230","202117","97516","519229","203808","73700","25015","134524","285123","74254","12135","66638","42375","89721","11103","13","5453","6","449209","247417","90851","110941","1.8","4954","416966","232","12","88",".",".",".",".",".",".",".","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","42710","36670","21200","95460","106055","105","7500","19155","13565","9405","35475","20850","228690","69525","159165","179960","48730","0.5","1379","23480","18010","0.5","0.5","0.4",".",".","21949","16589","5360",".",".","1","5968"
"Stadsdeel Centrum","Amsterdam","Wijk","WK036300","1","86360","44465","41895","8395","10480","31930","24285","11280","58540","18560","7225","2045","21030","12605","1470","735","2625","835","6945","890","10","585","6","55915","36505","11500","7920","1.5","13754","53937","319","5","95",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2710","3070","2100","10950","23240","10","970","5140","2515","2255","7705","4640","19920","5410","14510","15820","4095","0.4","3172","2000","2375","0.4","0.3","0.3",".",".","804","628","176",".",".","1","8791"
"Burgwallen-Oude Zijde","Amsterdam","Buurt","BU03630000","1","4250","2310","1940","255","730","1975","960","345","3260","630","305","65","1240","605","30","40","80","35","420","40","9","15","3","3075","2200","625","255","1.4","12163","2839","271","5","95",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100","90","100","330","1865","0","40","620","190","180","405","430","705","175","525","560","145","0.2","2010","110","140","0.2","0.3","0.3",".",".","41","35","6","1012","1","1","7554"
"Burgwallen-Nieuwe Zijde","Amsterdam","Buurt","BU03630001","1","4535","2485","2050","250","725","2375","870","320","3590","620","290","45","1350","795","65","60","115","40","515","40","8","20","5","3200","2325","690","195","1.4","7396","3012","279","6","94",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","90","150","120","300","2425","0","55","1090","215","190","495","380","875","325","550","675","200","0.3","1427","120","115","0.4","0.3","0.6",".",".","75","61","14","1012","1","1","9216"
"Grachtengordel-West","Amsterdam","Buurt","BU03630002","1","7060","3745","3310","650","900","2455","1975","1085","4550","1910","450","160","2215","645","15","50","75","45","460","80","11","20","3","4605","2945","1095","570","1.5","14066","4670","498","9","91",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50","110","110","1050","3170","0","80","610","340","420","1235","485","2235","650","1585","1770","465","0.5","4453","150","185","0.3","0.3","0.3",".",".","64","50","14","1016","6","1","10427"
"Grachtengordel-Zuid","Amsterdam","Buurt","BU03630003","1","4400","2340","2055","475","525","1625","1140","645","2835","1170","300","110","1200","440","25","20","50","45","305","45","10","10","2","2800","1780","640","390","1.6","10366","2697","489","14","86",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50","70","60","630","1960","0","65","480","170","300","690","255","1405","455","950","1105","300","0.5","3305","95","130","0.4","0.3","0.3",".",".","52","42","10","1017","1","1","8974"
"Nieuwmarkt/Lastage","Amsterdam","Buurt","BU03630004","1","9530","4975","4555","810","1195","3215","2960","1365","6345","2020","915","260","2405","1235","75","70","265","80","745","70","7","75","8","6330","4165","1300","875","1.5","13410","6033","301","3","97",".",".",".",".",".",".",".","92","8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","300","340","230","1330","2160","0","110","385","255","165","725","520","1950","555","1395","1515","430","0.3","2741","220","250","0.4","0.3","0.3",".",".","108","71","37","1011","1","1","6964"
"Haarlemmerbuurt","Amsterdam","Buurt","BU03630005","1","9290","4675","4615","1125","860","3145","2895","1275","5890","2300","870","235","2065","1465","195","80","365","80","745","100","11","65","6","5630","3405","1205","1030","1.6","17058","5568","307","2","98",".",".",".",".",".",".",".","76","24",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","350","390","230","1260","2190","5","115","410","245","175","780","460","2240","705","1535","1660","580","0.4","4113","245","265","0.4","0.4","0.3",".",".","82","54","27","1013","1","1","7945"
"Jordaan","Amsterdam","Buurt","BU03630006","1","19390","9770","9615","1805","1940","7255","5615","2775","13270","3845","1765","520","4570","2360","285","180","430","180","1285","215","11","150","7","13020","8810","2445","1770","1.5","23195","12934","281","4","96",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","720","800","530","2720","3965","0","235","725","445","310","1295","955","4020","910","3110","3345","675","0.3","4810","415","585","0.3","0.3","0.3",".",".","96","84","12","1015","5","1","11201"
"De Weteringschans","Amsterdam","Buurt","BU03630007","1","7350","3750","3595","775","905","3035","1790","850","5055","1685","475","145","1940","800","40","60","115","70","520","90","12","25","3","4725","3020","1065","645","1.6","13263","4559","359","7","93",".",".",".",".",".",".",".","96","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100","170","160","820","2215","0","80","485","225","275","780","365","1840","470","1370","1480","360","0.4","3324","170","195","0.3","0.3","0.3",".",".","65","55","10","1017","1","1","9355"
