gid,gm_code,gm_naam,aant_inw,aant_man,aant_vrouw,p_00_14_jr,p_15_24_jr,p_25_44_jr,p_45_64_jr,p_65_eo_jr,p_n_w_al,p_turkije,p_marokko,p_surinam,p_ant_aru,p_over_nw,p_west_al,aantal_hh,p_eenp_hh,p_hh_z_k,p_hh_m_k,gem_hh_gr,bev_dichth,opp_tot,opp_land,opp_water,json_area,gm_code2
292,GM0755,Boekel,9690,4940,4750,22,11,26,28,13,1,0,0,0,0,1,4,3470,22,32,47,2.7,281,3452,3451,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[180200,403800],[180700,400600],[178941.515483867,400209.225663082],[178900,400200],[178720.677740133,400152.180730702],[177400,399800],[177368.699887953,399768.699887953],[177300,399700],[177238.590210281,399682.454345795],[176600,399500],[175800,399500],[175766.671149618,399500],[175676.193588638,399498.016132387],[173300,399300],[173209.063283867,400027.49372906],[173174.300911942,400084.263408444],[172910.729946119,401353.503566816],[172900,401400],[172700,402000],[171600,403900],[172022.283507248,404020.567369523],[172200,404100],[173200,404100],[173800,404400],[174200,404500],[174339.276295608,404490.714913626],[175289.215621068,404427.385625262],[175700,404400],[177291.024953859,404101.682821151],[179400,403800],[180200,403800]]]]}",755
176,GM0417,Laren,11590,5520,6070,16,9,20,30,26,9,0,0,0,0,8,12,5300,41,31,28,2.1,945,1239,1226,12,"{""type"":""MultiPolygon"",""coordinates"":[[[[145200,474100],[145192.703173068,473787.23055287],[144804.034669016,473107.060670777],[144391.775604942,472082.180477374],[143800,470800],[143900,470800],[143500,469400],[143200,470000],[142200,472411.73625782],[142195.187905084,472505.499537047],[141500,473300],[142200,474800],[142214.978058444,474834.948803037],[142500,475500],[142726.155536274,475400],[142797.583271084,475400],[142900,475400],[143100,475600],[144000,476100],[144000,475600],[144407.954885244,475189.06203279],[145200,474100]]]]}",417
244,GM0600,Rozenburg,12480,6230,6240,16,11,27,29,16,7,2,0,1,1,3,10,5510,31,34,36,2.3,2759,650,452,198,"{""type"":""MultiPolygon"",""coordinates"":[[[[74200,439000],[75000,438400],[75601.8348181694,437498.165181831],[76200,436900],[77900,435900],[77600,435100],[77400,434800],[75700,435400],[75239.7444437872,435584.102222485],[75200,435600],[75100,436500],[74893.9828266014,437016.04579573],[74600,437800],[72500,439600],[72804.0765589437,439905.662061155],[72911.4757296131,439828.337030963],[74200,439000]]]]}",600
363,GM0964,Sevenum,7690,3920,3770,19,11,26,28,16,1,0,0,0,0,1,5,3010,24,35,41,2.5,160,4866,4805,61,"{""type"":""MultiPolygon"",""coordinates"":[[[[203000,381400],[203000,380300],[202700,379900],[202600,379400],[202700,378700],[199876.840693609,377590.736277443],[198900,377200],[198100,376900],[196599.546016416,376700],[194700,376700],[194000,377300],[192900,377400],[192102.587696791,378895.148068516],[190900,381000],[192412.338059372,381202.350106547],[194472.547175122,381594.770890499],[197558.903035406,381994.697165859],[197600,382000],[198443.148556941,382093.683172993],[198500,382100],[199385.081688537,382100],[200900,382200],[201600,381800],[203000,381400]]]]}",964
4,GM0009,Ten Boer,7450,3740,3710,21,11,26,29,13,2,0,0,0,0,1,4,2890,24,33,43,2.5,164,4571,4527,44,"{""type"":""MultiPolygon"",""coordinates"":[[[[247400,589400],[245200,588000],[244600,587700],[244563.480910643,587675.653940429],[243108.903224749,586705.935483166],[240219.557833417,584912.139344879],[239815.174503688,584515.174503688],[238900,583900],[238300,585700],[238300,586000],[238200,586600],[237700,587300],[237700,587500],[237890.685827043,588072.05748113],[239319.014851928,591647.53712982],[239502.424350699,592098.787824651],[239900,591900],[241000,591600],[241800,590900],[241828.796126256,590931.011212891],[243100,592300],[244400,591800],[244500,591800],[244700,592500],[244967.53686878,592678.35791252],[245000,592700],[245325.515763319,592634.896847336],[245500,592600],[245600,592500],[245800,592400],[245734.859324303,592334.859324303],[245607.166423082,592207.166423082],[245500,592100],[245500,592000],[246100,591100],[246600,590700],[246800,591100],[247400,590400],[247400,589900],[247200,589800],[247400,589400]]]]}",9
126,GM0313,Bunschoten,19750,9930,9830,21,14,28,25,12,4,2,0,0,0,1,3,7080,21,30,49,2.8,648,3488,3050,438,"{""type"":""MultiPolygon"",""coordinates"":[[[[151200,476200],[151500,475900],[152449.976947734,475615.00691568],[152500,475600],[152900,475700],[153400,475600],[154083.695132819,474818.634133921],[154300,474600],[154342.420092511,474571.719938326],[154600,474400],[154761.22183573,474319.389082135],[154800,474300],[154800,474202.701698248],[154900,474000],[155119.803106826,473886.137825222],[156100,473200],[155500,470800],[155491.3823178,470756.911588998],[155400,470300],[155600,470100],[155400.503899847,468603.779248855],[154872.307548991,468705.538490202],[154375.661254128,468800],[154021.835825518,468800],[153472.621142056,469006.844714486],[153100,469100],[153000,469100],[151100,469600],[151400,470200],[151471.947846711,470919.478467115],[151500,471200],[150396.716243792,471401.313502483],[149900,471600],[150000,471900],[149800,472700],[149800,473100],[150000,473800],[150600,473900],[151000,474100],[151000,474300],[150600,474700],[150500,474900],[150600,475100],[150900,475500],[151200,476200]]]]}",313
127,GM0317,Eemnes,8880,4400,4480,20,11,26,30,12,4,0,0,0,0,3,8,3560,26,29,44,2.5,286,3367,3102,265,"{""type"":""MultiPolygon"",""coordinates"":[[[[149500,476600],[149900,476200],[150400,476100],[151200,476200],[150900,475500],[150600,475100],[150500,474900],[150600,474700],[151000,474300],[151000,474100],[150600,473900],[150000,473800],[149800,473100],[149800,472700],[150000,471900],[149900,471600],[149600,471500],[149500,471300],[149800,470900],[150000,470800],[150100,470700],[149900,470400],[149478.597223263,470121.402776737],[149200,470400],[149200,470500],[149100,470600],[148300,470600],[148211.280167081,470600],[147009.270254725,470699.227478773],[146232.539243089,470700],[146200,470700],[146004.938582923,470700],[145669.634471608,470701.6869738],[143900,470800],[143800,470800],[144391.775604942,472082.180477374],[144804.034669016,473107.060670777],[145192.703173068,473787.23055287],[145200,474100],[145291.053782774,474191.053782774],[146693.100480776,477085.708138749],[147415.901531049,476994.69948965],[147700,476900],[147741.174796753,476893.137533875],[149500,476600]]]]}",317
1,GM0003,Appingedam,12110,5850,6260,16,10,24,30,20,5,2,0,1,0,1,8,5440,32,35,32,2.2,509,2462,2380,82,"{""type"":""MultiPolygon"",""coordinates"":[[[[255000,591200],[254800,591100],[254200,590900],[254100,591000],[253200,590800],[253200,591000],[252600,591000],[252300,590300],[251716.411275406,590300],[251100,590400],[250900,591100],[250300,590800],[250132.084226665,591051.873660002],[250100,591100],[249700,591900],[249900,592000],[249401.361901667,593097.003816332],[249600,593205.901677624],[249600,593700],[249600,594199.661178315],[249800,594300],[249965.23947141,594300],[250100,594300],[250700,594400],[251263.857760857,594400],[251300,594400],[251390.993445874,594490.993445874],[251700,594600],[251700,594800],[251400,595500],[251300,596000],[251400,596200],[251500,596400],[251900,596400],[252400,596400],[253500,596100],[254000,596200],[254100,596500],[254000,596500],[254100,596700],[254773.47066302,596411.369715848],[254800,596000],[254600,595700],[254603.367751076,594579.793493543],[254696.28726031,594022.276438139],[254700,593200],[254800,592700],[254990.026828102,592509.973171898],[255000,591200]]]]}",3
2,GM0005,Bedum,10460,5270,5190,18,12,24,31,15,2,0,0,0,0,1,4,4200,27,34,38,2.4,235,4496,4458,38,"{""type"":""MultiPolygon"",""coordinates"":[[[[235500,596300],[235900,595600],[236100,595600],[236100,595441.542920553],[236100,595200],[235700,595000],[235900,594400],[236200,594500],[236500,594400],[236800,593900],[236700,593700],[237200,592700],[238400,592700],[238700,592000],[239100,592100],[239502.424350699,592098.787824651],[239319.014851928,591647.53712982],[237890.685827043,588072.05748113],[237700,587500],[237700,587300],[238200,586600],[238300,586000],[238300,585700],[237200,585500],[237100,585700],[236386.673575439,585699.404713076],[236377.53055978,585904.085352767],[235323.446100208,586095.73707269],[235101.191206871,586109.529654968],[235112.574021343,586200.592170747],[235200,586900],[235147.583923543,586873.791961772],[235000,586800],[233700,586700],[233700,587000],[232700,586800],[232600,587100],[232691.015857025,587646.095142152],[232700,587700],[232900,588200],[232997.375106922,589660.626603832],[233000,589700],[233205.628730067,592616.8861902],[233400,593200],[233408.003833629,593245.35505723],[233700,594900],[233600,595000],[233604.969224686,595624.846123432],[233700,596100],[234100,596300],[234200,596300],[234591.764833549,595908.235166451],[235000,595800],[235500,596300]]]]}",5
3,GM0007,Bellingwedde,9270,4620,4650,15,9,21,34,20,2,0,0,0,0,1,8,4050,27,40,33,2.3,86,11007,10833,174,"{""type"":""MultiPolygon"",""coordinates"":[[[[275500,575800],[275600,575000],[275200,574100],[275000,574000],[274900,573900],[274999.103238802,573107.174089582],[275193.546825306,572035.492460819],[275200,572000],[276600,571200],[276400,567600],[276494.944316012,566840.445471903],[276500,566800],[276800,564700],[275600,564500],[272937.570001242,563218.089259857],[272900,563200],[272308.858033513,562904.429016757],[271900,562800],[271000,564200],[270500,564500],[269997.678318396,565198.452212264],[269100,564600],[268900,564700],[268900,565100],[268500,565200],[268301.732852006,565413.935607079],[268270.249142861,565417.850514284],[267800,565700],[267426.531170627,565700],[267100,565700],[265618.775831978,565502.503444264],[265400,565500],[264900,565800],[264400,566200],[264100,566200],[265500,569000],[265519.633240391,569029.449860586],[265559.530899033,569089.29634855],[265900,569600],[265000,570300],[264721.876633313,570763.538944478],[264700,570800],[265000,571100],[265200,571100],[265400,571600],[266302.532611095,572605.065222189],[266400,572800],[267600,573700],[268312.065088152,574306.032544076],[268700,574500],[268900,574500],[269700,574300],[270000,574400],[270666.99028194,574876.421629957],[270700,574900],[271300,575200],[271800,575400],[272303.411894087,575605.117841131],[272500,575900],[272600,576300],[272775.926598285,576212.036700858],[274500,575000],[274700,575500],[275100,575700],[275500,575800]]]]}",7
