"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Onderwerpen";"Gemeentenaam";"Soort regio";"Codering";"Indelingswijziging wijken en buurten";"Aantal inwoners";"Geslacht";"Geslacht";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Burgerlijke staat";"Burgerlijke staat";"Burgerlijke staat";"Burgerlijke staat";"Allochtonen";"Allochtonen";"Allochtonen";"Allochtonen";"Allochtonen";"Allochtonen";"Allochtonen";"Geboorte en sterfte";"Geboorte en sterfte";"Geboorte en sterfte";"Geboorte en sterfte";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens";"Bevolkingsdichtheid";"Woningvoorraad";"Gemiddelde woningwaarde";"Woningen naar type";"Woningen naar type";"Woningen naar bewoning";"Woningen naar bewoning";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar bouwjaar";"Woningen naar bouwjaar";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Gemiddeld aardgasverbruik";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";"Bedrijfsvestigingen totaal";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Bedrijfsvestigingen naar activiteit";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers";"Afstand tot huisartsenpraktijk";"Afstand tot grote supermarkt";"Afstand tot kinderdagverblijf";"Basisonderwijs";"Basisonderwijs";"Oppervlakte totaal";"Oppervlakte land";"Oppervlakte water";"Meest voorkomende postcode";"Dekkingspercentage";"Mate van stedelijkheid";"Omgevingsadressendichtheid"
"Onderwerpen";"Gemeentenaam";"Soort regio";"Codering";"Indelingswijziging wijken en buurten";"Aantal inwoners";"Mannen";"Vrouwen";"0 tot 15 jaar";"15 tot 25 jaar";"25 tot 45 jaar";"45 tot 65 jaar";"65 jaar of ouder";"Ongehuwd";"Gehuwd";"Gescheiden";"Verweduwd";"Westers totaal";"Niet-westers";"Niet-westers";"Niet-westers";"Niet-westers";"Niet-westers";"Niet-westers";"Geboorte totaal";"Geboorte relatief";"Sterfte totaal";"Sterfte relatief";"Huishoudens totaal";"Eenpersoonshuishoudens";"Huishoudens zonder kinderen";"Huishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Bevolkingsdichtheid";"Woningvoorraad";"Gemiddelde woningwaarde";"Percentage eengezinswoning";"Percentage meergezinswoning";"Percentage bewoond";"Percentage onbewoond";"Koopwoningen";"Huurwoningen";"Huurwoningen";"Huurwoningen";"Eigendom onbekend";"Bouwjaar voor 2000";"Bouwjaar vanaf 2000";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom";"Gemiddeld aardgasverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom";"Percentage woningen met stadsverwarming";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum";"Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";"Bedrijfsvestigingen totaal";"A Landbouw, bosbouw en visserij";"B-F Nijverheid en energie";"G+I Handel en horeca";"H+J Vervoer, informatie en communicatie";"K-L Financiële diensten, onroerend goed";"M-N Zakelijke dienstverlening";"R-U Cultuur, recreatie, overige diensten";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers";"Afstand tot huisartsenpraktijk";"Afstand tot grote supermarkt";"Afstand tot kinderdagverblijf";"Afstand tot school";"Scholen binnen 3 km";"Oppervlakte totaal";"Oppervlakte land";"Oppervlakte water";"Meest voorkomende postcode";"Dekkingspercentage";"Mate van stedelijkheid";"Omgevingsadressendichtheid"
"Onderwerpen";"Gemeentenaam";"Soort regio";"Codering";"Indelingswijziging wijken en buurten";"Aantal inwoners";"Mannen";"Vrouwen";"0 tot 15 jaar";"15 tot 25 jaar";"25 tot 45 jaar";"45 tot 65 jaar";"65 jaar of ouder";"Ongehuwd";"Gehuwd";"Gescheiden";"Verweduwd";"Westers totaal";"Niet-westers totaal";"Marokko";"Nederlandse Antillen en Aruba";"Suriname";"Turkije";"Overig niet-westers";"Geboorte totaal";"Geboorte relatief";"Sterfte totaal";"Sterfte relatief";"Huishoudens totaal";"Eenpersoonshuishoudens";"Huishoudens zonder kinderen";"Huishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Bevolkingsdichtheid";"Woningvoorraad";"Gemiddelde woningwaarde";"Percentage eengezinswoning";"Percentage meergezinswoning";"Percentage bewoond";"Percentage onbewoond";"Koopwoningen";"Huurwoningen totaal";"In bezit woningcorporatie";"In bezit overige verhuurders";"Eigendom onbekend";"Bouwjaar voor 2000";"Bouwjaar vanaf 2000";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning";"Gemiddeld aardgasverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning";"Percentage woningen met stadsverwarming";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum";"Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";"Bedrijfsvestigingen totaal";"A Landbouw, bosbouw en visserij";"B-F Nijverheid en energie";"G+I Handel en horeca";"H+J Vervoer, informatie en communicatie";"K-L Financiële diensten, onroerend goed";"M-N Zakelijke dienstverlening";"R-U Cultuur, recreatie, overige diensten";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers";"Afstand tot huisartsenpraktijk";"Afstand tot grote supermarkt";"Afstand tot kinderdagverblijf";"Afstand tot school";"Scholen binnen 3 km";"Oppervlakte totaal";"Oppervlakte land";"Oppervlakte water";"Meest voorkomende postcode";"Dekkingspercentage";"Mate van stedelijkheid";"Omgevingsadressendichtheid"
"Wijken en buurten";"naam";"omschrijving";"code";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"per 1 000 inwoners";"aantal";"per 1 000 inwoners";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal inwoners per km²";"aantal";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"m³";"m³";"m³";"m³";"m³";"m³";"m³";"m³";"%";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal";"km";"km";"km";"km";"aantal";"ha";"ha";"ha";"code";"code";"code";"per km²"
"Amsterdam";"Amsterdam";"Gemeente";"GM0363";".";"833624";"411608";"422016";"127224";"108370";"293154";"204741";"100135";"531112";"203974";"73962";"24576";"140901";"289823";"75065";"12227";"66119";"42622";"93790";".";".";".";".";"456462";"251828";"92709";"111925";"1.8";"5042";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21949";"16533";"5416";".";".";"1";"6011"
"Burgwallen-Oude Zijde";"Amsterdam";"Wijk";"WK036300";"3";"4280";"2340";"1935";"255";"675";"2030";"980";"355";"3280";"660";"290";"65";"1275";"640";"25";"40";"80";"40";"455";".";".";".";".";"3070";"2160";"655";"265";"1.4";"12255";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"40";"35";"6";".";".";"1";"7619"
"Kop Zeedijk";"Amsterdam";"Buurt";"BU03630000";"3";"1020";"570";"445";"50";"140";"520";"260";"60";"765";"175";"70";"15";"320";"145";"5";"10";"20";"10";"105";".";".";".";".";"740";"520";"170";"55";"1.4";"16818";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"6";"2";".";".";"1";"6649"
"Oude Kerk e.o.";"Amsterdam";"Buurt";"BU03630001";"3";"670";"365";"300";"30";"130";"320";"145";"55";"540";"70";"55";"15";"205";"105";"5";"10";"15";"10";"70";".";".";".";".";"500";"370";"95";"45";"1.3";"7615";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"9";"0";".";".";"1";"7361"
"Burgwallen Oost";"Amsterdam";"Buurt";"BU03630002";"3";"1610";"880";"730";"120";"250";"755";"340";"155";"1230";"255";"115";"25";"495";"275";"10";"15";"35";"10";"210";".";".";".";".";"1120";"770";"260";"105";"1.4";"25867";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"7544"
"Nes e.o.";"Amsterdam";"Buurt";"BU03630003";"3";"370";"185";"180";"25";"70";"195";"65";"25";"300";"50";"20";"5";"120";"35";"5";"0";"5";"5";"25";".";".";".";".";"270";"205";"55";"20";"1.4";"6939";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"0";".";".";"1";"9825"
